State,Date,Confirmed,Deaths,Case_Fatality_Ratio
Alaska,2022-02-02 04:32:38,216939.0,1085.0,0.5001405925167904
Arizona,2022-02-02 04:32:38,1878211.0,26345.0,1.4026645568575629
Arkansas,2022-02-02 04:32:38,781396.0,9667.0,1.2371448023793314
California,2022-02-02 04:32:38,8481500.0,80172.0,0.94548150971378
Colorado,2022-02-02 04:32:38,1256557.0,11164.0,0.8884594968632541
Connecticut,2022-02-02 04:32:38,700640.0,10076.0,1.4381137245946565
Delaware,2022-02-02 04:32:38,248447.0,2544.0,1.0239608447676969
Florida,2022-02-02 04:32:38,5555874.0,65271.0,1.1748106598529773
Georgia,2022-02-02 04:32:38,2378278.0,33053.0,1.3897870644222416
Hawaii,2022-02-02 04:32:38,220356.0,1181.0,0.5359509157908112
Idaho,2022-02-02 04:32:38,382466.0,4425.0,1.1569655864835044
Illinois,2022-02-02 04:32:38,2929636.0,33469.0,1.1424286157051593
Indiana,2022-02-02 04:32:38,1629098.0,21487.0,1.3189507322456966
Iowa,2022-02-02 04:32:38,719703.0,8501.0,1.1811816818882233
Kansas,2022-02-02 04:32:38,730880.0,7533.0,1.030675350262697
Kentucky,2022-02-02 04:32:38,1169097.0,12975.0,1.1098309207875825
Louisiana,2022-02-02 04:32:38,1118328.0,15744.0,1.4078159538167694
Maine,2022-02-02 04:32:38,175759.0,1751.0,0.9962505476248726
Maryland,2022-02-02 04:32:38,978952.0,13532.0,1.3822945353806928
Massachusetts,2022-02-02 04:32:38,1614642.0,18521.0,1.372688187226642
Michigan,2022-02-02 04:32:38,2258465.0,32263.0,1.4285366388232716
Minnesota,2022-02-02 04:32:38,1343090.0,11607.0,0.8642012076629265
Mississippi,2022-02-02 04:32:38,731667.0,11044.0,1.509429836250644
Missouri,2022-02-02 04:32:38,1339689.0,17730.0,1.3234414852999463
Montana,2022-02-02 04:32:38,243133.0,3016.0,1.2404733211863466
Nebraska,2022-02-02 04:32:38,441456.0,3705.0,0.8392682396433621
Nevada,2022-02-02 04:32:38,659036.0,9011.0,1.3673001171407937
New Hampshire,2022-02-02 04:32:38,277355.0,2223.0,0.8014998828216545
New Jersey,2022-02-02 04:32:38,2115305.0,31557.0,1.4918416020384768
New Mexico,2022-02-02 04:32:38,481852.0,6473.0,1.3433585416268896
New York,2022-02-02 04:32:38,4811937.0,65060.0,1.3520542766873298
North Carolina,2022-02-02 04:32:38,2430556.0,20817.0,0.8564707005310719
North Dakota,2022-02-02 04:32:38,227070.0,2154.0,0.9551767564787058
Ohio,2022-02-02 04:32:38,2586903.0,36280.0,1.3947565873169578
Oklahoma,2022-02-02 04:32:38,979349.0,13341.0,1.3622314414983832
Oregon,2022-02-02 04:32:38,638823.0,6124.0,0.9586379951880256
Pennsylvania,2022-02-02 04:32:38,2667166.0,40836.0,1.5310633083955032
Rhode Island,2022-02-02 04:32:38,344841.0,3329.0,0.9653724470118112
South Carolina,2022-02-02 04:32:38,1389266.0,15508.0,1.116272909579591
South Dakota,2022-02-02 04:32:38,228169.0,2660.0,1.1658025410989223
Tennessee,2022-02-02 04:32:38,1893109.0,22752.0,1.2029161090520004
Texas,2022-02-02 04:32:38,6300033.0,79699.0,1.2650568655751486
Utah,2022-02-02 04:32:38,888368.0,4138.0,0.4657979576031554
Vermont,2022-02-02 04:32:38,104837.0,542.0,0.5169930463481405
Virginia,2022-02-02 04:32:38,1551705.0,16252.0,1.0473640286007972
Washington,2022-02-02 04:32:38,1339737.0,10776.0,0.8043369706143818
West Virginia,2022-02-02 04:32:38,448922.0,5778.0,1.2870832795006706
Wisconsin,2022-02-02 04:32:38,1520640.0,12453.0,0.8189315025252525
Wyoming,2022-02-02 04:32:38,147305.0,1650.0,1.120124910899155
Alabama,2021-03-02 05:30:53,493769.0,9931.0,2.0112643766619613
Alaska,2021-03-02 05:30:53,58681.0,300.0,0.5112387314462944
Arizona,2021-03-02 05:30:53,817821.0,15979.0,1.953850536975695
Arkansas,2021-03-02 05:30:53,322509.0,5250.0,1.6278615480498217
California,2021-03-02 08:30:59,3630930.0,52104.0,1.4348579186367683
Colorado,2021-03-02 05:30:53,429839.0,5952.0,1.384704505640484
Connecticut,2021-03-02 05:30:53,282626.0,7651.0,2.7071111645779227
Delaware,2021-03-02 05:30:53,87080.0,1422.0,1.6329811667432246
Florida,2021-03-02 05:30:53,1910921.0,30999.0,1.62220206905466
Georgia,2021-03-02 05:30:53,1008660.0,17376.0,1.7226815775385165
Hawaii,2021-03-02 05:30:53,28381.0,439.0,1.5468094852189844
Idaho,2021-03-02 05:30:53,171462.0,1867.0,1.0888710034876532
Illinois,2021-03-02 05:30:53,1187839.0,22759.0,1.916000400727708
Indiana,2021-03-02 05:30:53,662213.0,12595.0,1.9019560171727223
Iowa,2021-03-02 05:30:53,336890.0,5472.0,1.6242690492445606
Kansas,2021-03-02 05:30:53,296644.0,4738.0,1.597200684996157
Kentucky,2021-03-02 05:30:53,405126.0,4652.0,1.1482847311700557
Louisiana,2021-03-02 05:30:53,430504.0,9628.0,2.2364484418263246
Maine,2021-03-02 05:30:53,44763.0,703.0,1.5704934879252954
Maryland,2021-03-02 05:30:53,382702.0,7879.0,2.0587820288370584
Massachusetts,2021-03-02 05:30:53,582543.0,13366.0,2.7712975694498088
Michigan,2021-03-02 05:30:53,647415.0,16519.0,2.551531861325425
Minnesota,2021-03-02 05:30:53,485230.0,6554.0,1.3506996681985863
Mississippi,2021-03-02 05:30:53,294994.0,6681.0,2.2647918262744327
Missouri,2021-03-02 05:30:53,563489.0,8283.0,1.4699488366232527
Montana,2021-03-02 05:30:53,100003.0,1357.0,1.3569592912212634
Nebraska,2021-03-02 05:30:53,200946.0,2082.0,1.0360992505449225
Nevada,2021-03-02 05:30:53,293980.0,4957.0,1.686169127151507
New Hampshire,2021-03-02 05:30:53,75588.0,1170.0,1.5478647404349897
New Jersey,2021-03-02 05:30:53,792496.0,23273.0,2.936670973733621
New Mexico,2021-03-02 05:30:53,185297.0,3729.0,2.0124448857779678
New York,2021-03-02 05:30:53,1650303.0,47519.0,2.8794106294419874
North Carolina,2021-03-02 05:30:53,862170.0,11254.0,1.3053110175487432
North Dakota,2021-03-02 05:30:53,99749.0,1475.0,1.4771862356287304
Ohio,2021-03-02 05:30:53,968874.0,18723.0,1.9324494206677032
Oklahoma,2021-03-02 05:30:53,425946.0,4478.0,1.0513069731843945
Oregon,2021-03-02 05:30:53,155787.0,2212.0,1.4198874103744217
Pennsylvania,2021-03-02 05:30:53,941357.0,24011.0,2.5506794977888303
Rhode Island,2021-03-02 05:30:53,126588.0,2517.0,1.9883401270262584
South Carolina,2021-03-02 05:30:53,517976.0,8562.0,1.6529723384867252
South Dakota,2021-03-02 05:30:53,112470.0,1888.0,1.6786698675202276
Tennessee,2021-03-02 05:30:53,769616.0,11421.0,1.483925119015446
Texas,2021-03-02 05:30:53,2695155.0,43909.0,1.6291827371709604
Utah,2021-03-02 05:30:53,371492.0,1940.0,0.5222185134538564
Vermont,2021-03-02 05:30:53,15284.0,205.0,1.3412719183459827
Virginia,2021-03-02 05:30:53,577174.0,8783.0,1.5217248178192364
Washington,2021-03-02 05:30:53,340708.0,4969.0,1.4584336147081958
West Virginia,2021-03-02 05:30:53,132048.0,2300.0,1.7417908639282684
Wisconsin,2021-03-02 05:30:53,617700.0,7014.0,1.1355026711996117
Wyoming,2021-03-02 05:30:53,54471.0,671.0,1.231848139376916
Alabama,2022-03-02 04:31:54,1280351.0,18287.0,1.4282802137851258
Alaska,2022-03-02 04:31:54,239494.0,1163.0,0.4856071550853048
Arizona,2022-03-02 04:31:54,1976890.0,27946.0,1.4136345471928131
Arkansas,2022-03-02 04:31:54,820677.0,10579.0,1.2890576926123192
California,2022-03-02 07:31:46,8986609.0,85552.0,0.9522403977112042
Colorado,2022-03-02 04:31:54,1314678.0,11794.0,0.8971017998323544
Connecticut,2022-03-02 04:31:54,723559.0,10471.0,1.447152201824592
Delaware,2022-03-02 04:31:54,256656.0,2711.0,1.0562776634873137
Florida,2022-03-02 04:31:54,5844096.0,70247.0,1.2020165308714983
Georgia,2022-03-02 04:31:54,2466525.0,35529.0,1.4404475932739382
Hawaii,2022-03-02 04:31:54,236269.0,1334.0,0.5646106768132934
Idaho,2022-03-02 04:31:54,427738.0,4763.0,1.1135321154538529
Illinois,2022-03-02 04:31:54,3033061.0,35236.0,1.1617306740616162
Indiana,2022-03-02 04:31:54,1682222.0,22880.0,1.3601058599875642
Iowa,2022-03-02 04:31:54,754073.0,9085.0,1.2047905176289295
Kansas,2022-03-02 04:31:54,766669.0,7943.0,1.0360403250946628
Kentucky,2022-03-02 04:31:54,1280109.0,13900.0,1.0858450335088652
Louisiana,2022-03-02 04:31:54,1162537.0,16606.0,1.4284276543456251
Maine,2022-03-02 04:31:54,227332.0,2065.0,0.9083630989038058
Maryland,2022-03-02 04:31:54,1002634.0,14135.0,1.4097866220375532
Massachusetts,2022-03-02 04:31:54,1672594.0,19707.0,1.4042857979880354
Michigan,2022-03-02 04:31:54,2360399.0,34505.0,1.4618291229576017
Minnesota,2022-03-02 04:31:54,1415652.0,12311.0,0.8696346277192417
Mississippi,2022-03-02 04:31:54,790168.0,12100.0,1.5313199218394062
Missouri,2022-03-02 04:31:54,1402690.0,19242.0,1.3717927696069694
Montana,2022-03-02 04:31:54,267231.0,3189.0,1.1933495739640985
Nebraska,2022-03-02 04:31:54,475690.0,3986.0,0.8379406756501082
Nevada,2022-03-02 04:31:54,684031.0,9715.0,1.4202572690419002
New Hampshire,2022-03-02 04:31:54,298626.0,2387.0,0.7993275870151962
New Jersey,2022-03-02 04:31:54,2168631.0,32951.0,1.519437838894676
New Mexico,2022-03-02 04:31:54,512120.0,6925.0,1.352222135437007
New York,2022-03-02 04:31:54,4926708.0,67409.0,1.3682361528225335
North Carolina,2022-03-02 04:31:54,2590748.0,22608.0,0.8726437306909047
North Dakota,2022-03-02 04:31:54,238320.0,2194.0,0.9210476602282888
Ohio,2022-03-02 04:31:54,2654991.0,37823.0,1.4013983474896905
Oklahoma,2022-03-02 04:31:54,1021849.0,14674.0,1.4360243049609092
Oregon,2022-03-02 04:31:54,694649.0,6648.0,0.9570300972145644
Pennsylvania,2022-03-02 04:31:54,2758482.0,43332.0,1.5708639751863525
Rhode Island,2022-03-02 04:31:54,356095.0,3413.0,0.9584520984568724
South Carolina,2022-03-02 04:31:54,1461426.0,16912.0,1.1572258875919819
South Dakota,2022-03-02 04:31:54,236056.0,2808.0,1.1895482427898465
Tennessee,2022-03-02 04:31:54,2009649.0,24613.0,1.2207270938621773
Texas,2022-03-02 04:31:54,6622301.0,85050.0,1.284296802576627
Utah,2022-03-02 04:31:54,923130.0,4417.0,0.4784808206861439
Vermont,2022-03-02 04:31:54,112364.0,598.0,0.5321989249225729
Virginia,2022-03-02 04:31:54,1641438.0,18811.0,1.146007342342507
Washington,2022-03-02 04:31:54,1423990.0,11866.0,0.8332923686261842
West Virginia,2022-03-02 04:31:54,490544.0,6339.0,1.2922388205747088
Wisconsin,2022-03-02 04:31:54,1572682.0,13351.0,0.8489319519139915
Wyoming,2022-03-02 04:31:54,155184.0,1741.0,1.1218940096917207
Alabama,2021-04-02 04:30:39,515866.0,10553.0,2.0456862828719085
Alaska,2021-04-02 04:30:39,63298.0,313.0,0.4944863976744921
Arizona,2021-04-02 04:30:39,842192.0,16977.0,2.0158111214544903
Arkansas,2021-04-02 04:30:39,330609.0,5636.0,1.7047327810192705
California,2021-04-02 07:30:30,3731260.0,58303.0,1.5625330781143272
Colorado,2021-04-02 04:30:39,463685.0,6117.0,1.3192145529831674
Connecticut,2021-04-02 04:30:39,312468.0,7900.0,2.528258893710716
Delaware,2021-04-02 04:30:39,95188.0,1559.0,1.6378114888431314
Florida,2021-04-02 04:30:39,2064525.0,33494.0,1.6223586539276589
Georgia,2021-04-02 04:30:39,1060973.0,19119.0,1.8020251222227144
Hawaii,2021-04-02 04:30:39,30867.0,463.0,1.4999838014708264
Idaho,2021-04-02 04:30:39,180897.0,1963.0,1.085147901844696
Illinois,2021-04-02 04:30:39,1248111.0,23601.0,1.890937584878268
Indiana,2021-04-02 04:30:39,687713.0,13048.0,1.8973030900971768
Iowa,2021-04-02 04:30:39,352137.0,5751.0,1.6331711805348486
Kansas,2021-04-02 04:30:39,303962.0,4908.0,1.6146755186503576
Kentucky,2021-04-02 04:30:39,427842.0,6108.0,1.4276298259637905
Louisiana,2021-04-02 04:30:39,445469.0,10161.0,2.280966801281346
Maine,2021-04-02 04:30:39,50788.0,744.0,1.4649129715680869
Maryland,2021-04-02 04:30:39,412928.0,8303.0,2.0107621667699944
Massachusetts,2021-04-02 04:30:39,638339.0,13828.0,2.6971562132346607
Michigan,2021-04-02 04:30:39,753449.0,17174.0,2.27938453697596
Minnesota,2021-04-02 04:30:39,521667.0,6938.0,1.329967201298913
Mississippi,2021-04-02 04:30:39,305417.0,7048.0,2.3076646028217156
Missouri,2021-04-02 04:30:39,582380.0,8859.0,1.5211717435351488
Montana,2021-04-02 04:30:39,104725.0,1438.0,1.373120076390547
Nebraska,2021-04-02 04:30:39,209896.0,2181.0,1.0390860235545225
Nevada,2021-04-02 04:30:39,304112.0,5256.0,1.7283106224022728
New Hampshire,2021-04-02 04:30:39,84539.0,1245.0,1.4726930765682111
New Jersey,2021-04-02 04:30:39,914422.0,24591.0,2.6892397601982454
New Mexico,2021-04-02 04:30:39,191945.0,3942.0,2.0537133032900052
New York,2021-04-02 04:30:39,1882308.0,50173.0,2.665504263914301
North Carolina,2021-04-02 04:30:39,916159.0,12136.0,1.324660894015122
North Dakota,2021-04-02 04:30:39,103270.0,1498.0,1.4501592464593074
Ohio,2021-04-02 04:30:39,1020041.0,19307.0,1.8927670554418887
Oklahoma,2021-04-02 04:30:39,440164.0,4953.0,1.1252624021955453
Oregon,2021-04-02 04:30:39,165524.0,2385.0,1.440878664121215
Pennsylvania,2021-04-02 04:30:39,1038949.0,25124.0,2.418213021043381
Rhode Island,2021-04-02 04:30:39,137848.0,2624.0,1.9035459346526609
South Carolina,2021-04-02 04:30:39,552681.0,9174.0,1.6599086995934365
South Dakota,2021-04-02 04:30:39,117989.0,1938.0,1.6425259981862717
Tennessee,2021-04-02 04:30:39,807991.0,11873.0,1.4708594100968901
Texas,2021-04-02 04:30:39,2833952.0,48495.0,1.7112145865561592
Utah,2021-04-02 04:30:39,386128.0,2125.0,0.5503356399950275
Vermont,2021-04-02 04:30:39,19523.0,227.0,1.1627311376325358
Virginia,2021-04-02 04:30:39,620801.0,10268.0,1.653992181069296
Washington,2021-04-02 04:30:39,365762.0,5262.0,1.43864042738174
West Virginia,2021-04-02 04:30:39,142233.0,2683.0,1.8863414256888345
Wisconsin,2021-04-02 04:30:39,636908.0,7326.0,1.1502446193170757
Wyoming,2021-04-02 04:30:39,56389.0,700.0,1.2413768642820409
Alabama,2022-04-02 04:31:55,1295353.0,19294.0,1.4894781576913785
