Location,Date,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Fully_Vacced_Percent
AZ,04-08-2022,11856663,11468805,10673150,3338669,61.1
DC,04-08-2022,1471664,1431919,1370343,260538,73.2
NM,04-08-2022,3850617,3717215,3452268,991090,70.5
AS,04-08-2022,106334,94409,78908,8094,86.6
US,04-08-2022,564572230,546328531,510447440,140019334,65.7
ME,04-08-2022,2759113,2672359,2519998,820870,79.0
GA,04-08-2022,14646693,14276318,13385328,3480406,54.4
AR,04-08-2022,4162500,4052960,3796217,1175617,54.1
KS,04-08-2022,4522288,4376177,4077762,1219565,60.9
GU,04-08-2022,344796,328930,295532,45624,82.3
PA,04-08-2022,22457550,21754422,20473461,6276823,67.8
RI,04-08-2022,2174899,2104794,1971752,539339,81.9
MA,04-08-2022,14541420,13969762,13027345,3244132,78.4
SD,04-08-2022,1383668,1336935,1252163,394282,60.8
DD2,04-08-2022,7359968,7244541,6861150,586484,0.0
CA,04-08-2022,73160616,70452226,65191747,15044295,71.3
IL,04-08-2022,22190092,21299217,19788664,5150800,68.3
VA,04-08-2022,16183416,15543507,14428851,3648127,72.7
UT,04-08-2022,5157427,4926528,4479195,974278,64.0
WA,04-08-2022,14159373,13661915,12754333,3257956,72.2
MN,04-08-2022,10084275,9663796,9006301,2547551,68.9
NC,04-08-2022,16433061,15929833,14948757,4341107,60.2
FL,04-08-2022,36811060,36072464,34182417,11899815,66.6
WY,04-08-2022,743688,727098,688678,225582,51.3
NH,04-08-2022,2494176,2424206,2273028,669734,69.6
IA,04-08-2022,5011272,4863663,4577978,1481825,61.7
PW,04-08-2022,47139,44733,41167,4941,84.1
NY,04-08-2022,38578436,37344469,35021693,8522555,76.4
CO,04-08-2022,10513905,10148430,9471279,2275340,69.9
FM,04-08-2022,119841,106201,93985,7432,53.1
PR,04-08-2022,7050527,6734089,6184209,1683324,82.6
OR,04-08-2022,7596490,7345650,6885987,1964217,69.3
MI,04-08-2022,15577523,15127420,14277266,4412978,59.9
NE,04-08-2022,3148239,3038698,2833737,835238,63.3
IH2,04-08-2022,2206504,2124911,1944262,388959,41.5
TN,04-08-2022,9780691,9582833,9112264,2841857,54.2
MO,04-08-2022,8801132,8563035,8075499,2510984,55.7
MT,04-08-2022,1559144,1517644,1437074,498160,56.5
ND,04-08-2022,1068709,1033743,981476,292164,54.7
OH,04-07-2022,17505033,17017362,16079639,5071129,58.1
TX,04-07-2022,45552765,43804389,40214683,9181499,61.0
WV,04-07-2022,2675592,2627101,2501111,867987,57.3
HI,04-07-2022,2849844,2743179,2553155,705508,77.9
WA,04-07-2022,14142412,13645400,12738212,3247196,72.2
DE,04-07-2022,1768002,1716910,1607797,520277,68.5
ME,04-07-2022,2753653,2666955,2514672,816950,79.0
MA,04-07-2022,14525000,13953751,13011687,3234172,78.4
MH,04-07-2022,60962,57388,51977,3157,33.0
VA2,04-07-2022,7271746,7271552,7268219,3836406,0.0
BP2,04-07-2022,311356,311354,311354,9915,0.0
NY,04-07-2022,38542854,37309834,34987920,8502106,76.4
DD2,04-07-2022,7355167,7240042,6856831,584356,0.0
FM,04-07-2022,119841,106201,93985,7432,53.1
GU,04-07-2022,344395,328563,295187,45526,82.2
NJ,04-07-2022,16908547,16326373,15176265,3765638,75.1
MS,04-07-2022,3818644,3745141,3533860,1111466,51.5
