Location,Date,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Fully_Vacced_Percent
SC,08-17-2021,4602813,4594974,4393425,1527435,41.8
VA2,08-17-2021,5477025,5476866,5474694,2877062,0.0
TX,08-17-2021,28806473,28800821,26772211,6144953,45.5
KS,08-17-2021,2807083,2806956,2642454,809419,46.6
HI,08-17-2021,1747329,1742740,1643331,490146,54.4
MN,08-17-2021,6230251,6210859,5807331,1611220,54.7
CT,08-17-2021,4705268,4703598,4374587,1178609,64.6
MI,08-17-2021,9986330,9985916,9450288,2893412,49.6
DD2,08-17-2021,4641197,4641004,4419483,348715,0.0
CA,08-17-2021,46635211,46507221,43340412,10143807,54.4
IA,08-17-2021,3223458,3223414,3046668,972422,50.6
MS,08-17-2021,2323102,2322902,2221097,733543,36.1
AR,08-17-2021,2638290,2633171,2488934,785777,38.8
NE,08-17-2021,2004577,2004260,1879067,557424,50.6
TN,08-17-2021,6018549,6017805,5765156,1848044,40.2
FM,08-17-2021,61469,61455,61421,4984,31.3
MP,08-17-2021,64565,64565,57371,5556,54.8
IL,08-17-2021,14180536,14139743,13193661,3438041,49.9
NM,08-17-2021,2555140,2554851,2380923,670618,58.4
KY,08-17-2021,4366259,4365159,4141698,1223574,46.9
AZ,08-17-2021,7347251,7346345,6903677,2170063,46.6
VT,08-17-2021,861492,861227,806211,249297,67.1
UT,08-17-2021,3092503,3091814,2848679,627254,45.8
NY,08-17-2021,23672324,23670296,22359854,5546975,58.5
FL,08-17-2021,23738822,23730331,22612880,8146652,50.6
NV,08-17-2021,3091757,3091712,2921170,791001,46.0
WI,08-17-2021,6304683,6304273,5959552,1867420,52.7
OR,08-17-2021,4833979,4819987,4534231,1270908,56.8
WY,08-17-2021,461651,461621,442268,149147,37.6
GA,08-17-2021,9314971,9312784,8832086,2452874,39.7
LTC,08-17-2021,7918614,0,0,0,0.0
VI,08-17-2021,90213,90128,86682,25775,37.9
MD,08-17-2021,7402041,7401598,6881157,1699897,60.1
BP2,08-17-2021,206832,206831,206831,6548,0.0
NC,08-17-2021,10071589,10057607,9497824,2861643,44.9
PR,08-17-2021,4101529,4100119,3806165,1062019,61.5
IH2,08-17-2021,1534442,1533894,1421278,280437,33.7
MH,08-17-2021,37410,37380,37312,2176,30.8
ND,08-17-2021,678916,677876,648385,196077,40.8
RI,08-17-2021,1361056,1360935,1277540,350919,62.9
WV,08-17-2021,1497171,1496250,1428830,537165,39.3
CO,08-17-2021,6645087,6625136,6185479,1448591,55.6
LA,08-17-2021,3938931,3938665,3769187,1211641,38.7
AL,08-17-2021,3828166,3827816,3676172,1243634,35.7
DC,08-17-2021,926236,926152,897677,176707,56.3
AK,08-17-2021,711778,709697,664850,144142,46.3
WA,08-17-2021,9237471,9236590,8653667,2165656,58.9
SD,08-17-2021,875952,875921,828941,265097,48.0
MO,08-17-2021,5730302,5729933,5429106,1699660,43.3
MA,08-17-2021,9304511,9276040,8664684,2098519,64.9
MT,08-17-2021,993158,993005,946928,329278,45.0
DD2,08-16-2021,4635065,4634872,4415512,348413,0.0
FL,08-16-2021,23676657,23668168,22561646,8139020,50.5
VI,08-16-2021,89778,89694,86289,25689,37.7
GU,08-16-2021,206760,206740,188096,29945,60.8
RI,08-16-2021,1359670,1359549,1276372,350700,62.8
SD,08-16-2021,873082,873051,826768,264964,47.9
US,08-16-2021,357292057,356937818,335826741,93292959,50.8
IA,08-16-2021,3210561,3210517,3036725,971427,50.4
MP,08-16-2021,64104,64104,57042,5546,54.4
MD,08-16-2021,7390435,7389994,6872033,1698614,60.0
PA,08-16-2021,14958601,14953859,14155773,4487323,53.6
KY,08-16-2021,4359718,4358618,4136567,1223024,46.8
VA,08-16-2021,9958716,9927883,9250120,2327400,55.8
HI,08-16-2021,1745661,1741072,1642017,489865,54.3
WA,08-16-2021,9228085,9227204,8645722,2164789,58.9
TN,08-16-2021,6006963,6006219,5755783,1846997,40.2
PR,08-16-2021,4088159,4086760,3795414,1060651,61.3
IL,08-16-2021,14140656,14099865,13158052,3433669,49.8
RP,08-16-2021,27010,27010,25907,3134,76.2
DE,08-16-2021,1119368,1119174,1052503,341264,53.9
MN,08-16-2021,6225479,6206087,5803483,1610788,54.7
UT,08-16-2021,3092503,3091814,2848679,627254,45.8
ND,08-16-2021,678889,677849,648365,196076,40.8
NE,08-16-2021,2002335,2002018,1877458,557264,50.6
TX,08-16-2021,28731472,28725835,26713966,6138798,45.3
CO,08-16-2021,6635972,6616032,6178169,1447533,55.6
IH2,08-16-2021,1534120,1533572,1421022,280405,33.7
ID,08-16-2021,1409809,0,1409025,466432,38.1
AR,08-16-2021,2630531,2625413,2482083,784949,38.7
WI,08-16-2021,6300487,6300078,5956110,1867054,52.7
GA,08-16-2021,9314949,9312762,8832065,2452873,39.7
MT,08-16-2021,993153,993000,946924,329277,45.0
AZ,08-16-2021,7339062,7338156,6897311,2169215,46.5
SC,08-16-2021,4594435,4586596,4386759,1526746,41.7
CT,08-16-2021,4700511,4698841,4370747,1178162,64.5
NY,08-16-2021,23640655,23638634,22333689,5543292,58.5
CA,08-16-2021,46585588,46457603,43300559,10139572,54.3
ME,08-16-2021,1698175,1698070,1601393,514918,64.6
LTC,08-16-2021,7917391,0,0,0,0.0
KS,08-16-2021,2803226,2803100,2639567,809048,46.5
AS,08-16-2021,53819,53808,47558,5186,44.3
WV,08-16-2021,1496620,1495700,1428382,537058,39.3
OR,08-16-2021,4830925,4816933,4531593,1270565,56.8
IN,08-16-2021,6234871,6234478,5904237,1845079,45.2
OH,08-16-2021,11346445,11346145,10774268,3424015,47.4
FM,08-16-2021,60680,60666,60634,4923,30.9
NC,08-16-2021,10057756,10043774,9486500,2860163,44.8
BP2,08-16-2021,206605,206604,206604,6542,0.0
NM,08-16-2021,2552938,2552649,2379317,670444,58.3
VA2,08-16-2021,5476981,5476822,5474650,2877054,0.0
NH,08-16-2021,1621082,1620459,1523886,439023,58.9
MS,08-16-2021,2293118,2292925,2196347,730521,35.8
VT,08-16-2021,861072,860816,805871,249259,67.1
WY,08-16-2021,457035,457007,438728,148729,37.3
MI,08-16-2021,9980408,9979995,9445497,2892678,49.6
MH,08-16-2021,37410,37380,37312,2176,30.8
AK,08-16-2021,711092,709012,664330,144096,46.3
NV,08-16-2021,3086881,3086836,2917366,790527,46.0
LA,08-16-2021,3926754,3926488,3759090,1210751,38.7
AL,08-16-2021,3815944,3815595,3665779,1242108,35.6
MO,08-16-2021,5721786,5721418,5422198,1698815,43.2
DC,08-16-2021,925235,925151,896781,176589,56.3
NJ,08-16-2021,10667461,10666708,9972818,2468397,59.8
OK,08-16-2021,3624989,3624764,3439169,1032310,41.6
MA,08-16-2021,9296888,9268418,8658517,2097436,64.9
ME,08-15-2021,1697679,1697574,1600953,514868,64.6
MO,08-15-2021,5721638,5721270,5422055,1698777,43.2
WA,08-15-2021,9214579,9213698,8634454,2163778,58.8
WY,08-15-2021,456986,456958,438695,148725,37.3
MN,08-15-2021,6206265,6186877,5788491,1609438,54.6
DC,08-15-2021,924434,924350,896150,176521,56.2
VI,08-15-2021,89771,89687,86282,25689,37.7
BP2,08-15-2021,206605,206604,206604,6542,0.0
OH,08-15-2021,11329969,11329669,10761355,3422551,47.3
FM,08-15-2021,58845,58831,58800,4762,30.0
LA,08-15-2021,3890510,3890247,3728664,1208070,38.3
KY,08-15-2021,4350464,4349364,4128964,1222358,46.7
MP,08-15-2021,64104,64104,57042,5546,54.4
PA,08-15-2021,14957548,14952806,14154820,4487185,53.6
SD,08-15-2021,872832,872801,826597,264942,47.9
PR,08-15-2021,4081296,4079900,3790153,1059957,61.3
DE,08-15-2021,1115654,1115460,1049428,340901,53.7
GU,08-15-2021,205629,205609,187216,29905,60.5
LTC,08-15-2021,7916263,0,0,0,0.0
OK,08-15-2021,3615884,3615660,3431833,1031636,41.5
SC,08-15-2021,4580571,4572732,4375796,1525752,41.6
RI,08-15-2021,1355713,1355592,1273186,350294,62.6
MH,08-15-2021,37410,37380,37312,2176,30.8
CT,08-15-2021,4693787,4692117,4365454,1177786,64.4
CA,08-15-2021,46466637,46338687,43207790,10131498,54.2
WV,08-15-2021,1496486,1495566,1428274,537036,39.3
AK,08-15-2021,709232,707153,662906,143957,46.2
NH,08-15-2021,1619487,1618864,1522550,438818,58.8
OR,08-15-2021,4830886,4816894,4531554,1270553,56.8
FL,08-15-2021,23606283,23597796,22503670,8133089,50.3
VT,08-15-2021,860263,860016,805218,249140,67.0
NY,08-15-2021,23595998,23593987,22297586,5539529,58.4
WI,08-15-2021,6284010,6283603,5942880,1865823,52.5
DD2,08-15-2021,4627624,4627431,4409894,348089,0.0
MI,08-15-2021,9971999,9971586,9438769,2892003,49.6
TX,08-15-2021,28671337,28665712,26669101,6135098,45.3
IL,08-15-2021,14084250,14043460,13107640,3427550,49.7
AL,08-15-2021,3792348,3792001,3646653,1240338,35.4
NJ,08-15-2021,10650221,10649469,9958818,2466079,59.7
MT,08-15-2021,993113,992960,946884,329273,45.0
VA,08-15-2021,9922979,9892171,9221577,2324433,55.6
MD,08-15-2021,7382630,7382190,6865854,1697882,60.0
MA,08-15-2021,9277928,9249459,8643595,2096028,64.7
NC,08-15-2021,10029789,10015827,9463850,2857758,44.7
CO,08-15-2021,6629016,6609077,6172613,1446891,55.5
ND,08-15-2021,678556,677516,648087,196061,40.8
TN,08-15-2021,5991013,5990270,5742555,1845635,40.1
IH2,08-15-2021,1533764,1533217,1420819,280397,33.7
AR,08-15-2021,2623952,2618834,2476645,784459,38.6
IN,08-15-2021,6224821,6224431,5896686,1844393,45.1
RP,08-15-2021,27010,27010,25907,3134,76.2
AZ,08-15-2021,7323382,7322478,6884996,2167987,46.4
MS,08-15-2021,2293055,2292862,2196285,730510,35.8
GA,08-15-2021,9210328,9208191,8744611,2444176,39.4
VA2,08-15-2021,5473033,5472874,5470737,2876037,0.0
HI,08-15-2021,1744877,1740288,1641430,489813,54.3
UT,08-15-2021,3092477,3091788,2848653,627249,45.8
US,08-15-2021,356433665,356079620,335133780,93223868,50.7
AS,08-15-2021,53819,53808,47558,5186,44.3
NM,08-15-2021,2542728,2542441,2371675,669503,58.2
IA,08-15-2021,3210527,3210483,3036691,971422,50.4
NV,08-15-2021,3076968,3076923,2909799,789870,45.8
KS,08-15-2021,2798136,2798010,2635616,808653,46.4
NE,08-15-2021,1994341,1994026,1871344,556724,50.4
ID,08-15-2021,1407457,0,1406673,466162,38.1
MO,08-14-2021,5707897,5707529,5411019,1697743,43.1
VA2,08-14-2021,5472311,5472152,5470015,2876019,0.0
IL,08-14-2021,14039870,13999307,13074204,3423494,49.6
NY,08-14-2021,23561203,23559197,22269448,5537044,58.3
RI,08-14-2021,1355650,1355529,1273136,350294,62.6
LTC,08-14-2021,7914897,0,0,0,0.0
NM,08-14-2021,2542247,2541960,2371306,669498,58.2
NV,08-14-2021,3070083,3070039,2904262,789368,45.7
MP,08-14-2021,64089,64089,57029,5545,54.3
NH,08-14-2021,1617808,1617185,1521200,438711,58.8
MT,08-14-2021,992942,992789,946773,329264,45.0
NC,08-14-2021,10015155,10001195,9451937,2856876,44.7
VT,08-14-2021,859352,859113,804484,249015,67.0
UT,08-14-2021,3092465,3091776,2848641,627249,45.8
CT,08-14-2021,4686507,4684839,4359756,1177193,64.4
IH2,08-14-2021,1530916,1530370,1418923,280278,33.6
DE,08-14-2021,1115629,1115435,1049403,340901,53.7
MS,08-14-2021,2292961,2292768,2196191,730485,35.8
SD,08-14-2021,872212,872181,826147,264918,47.8
GU,08-14-2021,205624,205604,187213,29905,60.5
IA,08-14-2021,3210521,3210477,3036686,971422,50.4
KS,08-14-2021,2789887,2789761,2629372,807973,46.3
AR,08-14-2021,2609173,2604062,2465287,783261,38.4
NE,08-14-2021,1994310,1993995,1871317,556724,50.4
DC,08-14-2021,922964,922880,894885,176398,56.1
ID,08-14-2021,1404134,0,1403363,465711,38.0
NJ,08-14-2021,10630697,10629945,9943556,2464598,59.6
PR,08-14-2021,4070921,4069526,3781874,1058868,61.2
WA,08-14-2021,9195436,9194556,8618717,2162285,58.7
GA,08-14-2021,9209838,9207701,8744162,2444168,39.4
ME,08-14-2021,1697659,1697554,1600940,514868,64.6
WI,08-14-2021,6283735,6283328,5942670,1865798,52.5
CO,08-14-2021,6619248,6599309,6164666,1446252,55.5
MI,08-14-2021,9959554,9959141,9428922,2890712,49.5
WY,08-14-2021,456796,456768,438542,148709,37.3
OH,08-14-2021,11311690,11311395,10746695,3420720,47.2
RP,08-14-2021,27010,27010,25907,3134,76.2
FL,08-14-2021,23521841,23513362,22431317,8124458,50.2
MH,08-14-2021,37121,37092,37024,2163,30.5
SC,08-14-2021,4565307,4557468,4363525,1524454,41.5
US,08-14-2021,355768825,355415121,334602869,93169672,50.6
AL,08-14-2021,3769434,3769089,3628694,1238493,35.2
AS,08-14-2021,53819,53808,47558,5186,44.3
OR,08-14-2021,4830859,4816867,4531532,1270552,56.8
PA,08-14-2021,14929940,14925211,14132483,4483588,53.5
AZ,08-14-2021,7308847,7307945,6873761,2166760,46.3
ND,08-14-2021,677097,676057,646983,195987,40.7
VA,08-14-2021,9922363,9891555,9221069,2324411,55.6
FM,08-14-2021,58845,58831,58800,4762,30.0
MD,08-14-2021,7374832,7374393,6859724,1697319,59.9
AK,08-14-2021,709158,707079,662839,143953,46.2
MA,08-14-2021,9277892,9249423,8643563,2096028,64.7
TX,08-14-2021,28577758,28572151,26597631,6129907,45.2
MN,08-14-2021,6206189,6186801,5788448,1609437,54.6
DD2,08-14-2021,4612645,4612455,4397308,347550,0.0
CA,08-14-2021,46378183,46250258,43138599,10125495,54.1
LA,08-14-2021,3890404,3890141,3728566,1208064,38.3
KY,08-14-2021,4339316,4338218,4119784,1221389,46.7
BP2,08-14-2021,206605,206604,206604,6542,0.0
HI,08-14-2021,1742463,1737875,1639591,489660,54.2
WV,08-14-2021,1496300,1495380,1428108,537004,39.3
IN,08-14-2021,6213287,6212898,5887312,1843377,45.0
VI,08-14-2021,89771,89687,86282,25689,37.7
OK,08-14-2021,3602786,3602564,3421334,1030682,41.4
TN,08-14-2021,5971286,5970547,5725542,1843491,40.0
RP,08-13-2021,26865,26865,25883,3134,76.2
DC,08-13-2021,920449,920365,892534,175420,56.0
CT,08-13-2021,4676689,4675023,4352126,1176526,64.2
MA,08-13-2021,9264895,9236430,8633530,2095182,64.7
MS,08-13-2021,2277191,2277005,2183114,728744,35.6
AL,08-13-2021,3764110,3763765,3624164,1238049,35.2
NY,08-13-2021,23512414,23510422,22230012,5532854,58.2
DD2,08-13-2021,4598799,4598612,4385413,347083,0.0
AS,08-13-2021,53783,53772,47542,5186,44.3
RI,08-13-2021,1352952,1352831,1271003,350037,62.5
NJ,08-13-2021,10611715,10610971,9928725,2463043,59.5
WY,08-13-2021,456647,456619,438411,148693,37.3
KY,08-13-2021,4325135,4324041,4108047,1220076,46.5
MP,08-13-2021,63865,63865,56863,5539,54.2
GU,08-13-2021,205558,205538,187160,29903,60.5
IH2,08-13-2021,1520372,1519832,1410965,279728,33.2
MI,08-13-2021,9945106,9944695,9417440,2889102,49.4
NM,08-13-2021,2541912,2541625,2371070,669476,58.1
TX,08-13-2021,28446293,28440714,26490786,6120058,45.0
WV,08-13-2021,1495285,1494367,1427284,536882,39.3
AK,08-13-2021,707991,705914,661990,143861,46.1
NH,08-13-2021,1615121,1614498,1519061,438483,58.7
TN,08-13-2021,5948040,5947305,5705346,1840860,39.9
MT,08-13-2021,990899,990747,945194,328999,44.9
PA,08-13-2021,14895375,14890664,14104516,4478904,53.4
LTC,08-13-2021,7913740,0,0,0,0.0
MD,08-13-2021,7361975,7361541,6849851,1696322,59.8
ND,08-13-2021,675213,674173,645632,195865,40.6
ME,08-13-2021,1694443,1694338,1598331,514575,64.5
LA,08-13-2021,3836852,3836593,3681580,1196787,37.9
NC,08-13-2021,9975734,9961778,9419395,2853616,44.5
DE,08-13-2021,1112702,1112508,1047159,340622,53.6
ID,08-13-2021,1400886,0,1400126,465303,37.9
VT,08-13-2021,858490,858264,803824,248917,66.9
MO,08-13-2021,5667451,5667084,5378347,1693905,42.8
OH,08-13-2021,11284895,11284603,10725653,3418026,47.1
SC,08-13-2021,4547435,4539597,4349414,1522675,41.4
VI,08-13-2021,89189,89106,85780,25610,37.4
WA,08-13-2021,9179672,9178794,8605774,2160710,58.6
CO,08-13-2021,6605663,6585726,6153898,1445258,55.4
AR,08-13-2021,2595068,2589964,2454345,782027,38.2
IN,08-13-2021,6200855,6200468,5877099,1842168,44.9
NE,08-13-2021,1989219,1988905,1867582,556316,50.3
KS,08-13-2021,2780814,2780688,2622450,807004,46.2
UT,08-13-2021,3092317,3091628,2848510,627235,45.8
NV,08-13-2021,3061607,3061563,2897219,788640,45.6
IA,08-13-2021,3204395,3204353,3032170,970934,50.3
HI,08-13-2021,1740171,1735583,1637731,489460,54.2
GA,08-13-2021,9209143,9207006,8743506,2444118,39.4
IL,08-13-2021,13991192,13950642,13031885,3415983,49.5
MH,08-13-2021,37121,37092,37024,2163,30.5
SD,08-13-2021,870481,870450,824927,264808,47.8
FL,08-13-2021,23427389,23418924,22351846,8114610,50.0
CA,08-13-2021,46286694,46158787,43065227,10116817,54.0
AZ,08-13-2021,7284228,7283333,6854192,2164771,46.2
VA2,08-13-2021,5467582,5467423,5465324,2874761,0.0
FM,08-13-2021,58845,58831,58800,4762,30.0
OR,08-13-2021,4822151,4808160,4524257,1269615,56.7
VA,08-13-2021,9893099,9862318,9198342,2322101,55.5
WI,08-13-2021,6270681,6270276,5932459,1864661,52.5
US,08-13-2021,354777950,354424484,333795445,93068882,50.5
MN,08-13-2021,6194534,6175149,5779702,1608261,54.5
PR,08-13-2021,4058183,4056793,3771629,1057576,61.1
BP2,08-13-2021,206188,206187,206187,6539,0.0
OK,08-13-2021,3588925,3588707,3410224,1029621,41.3
GA,08-12-2021,9208320,9206183,8742777,2444056,39.4
DC,08-12-2021,918901,918817,891246,175243,55.9
UT,08-12-2021,3092258,3091569,2848463,627227,45.8
OH,08-12-2021,11268911,11268622,10712732,3415909,47.1
RP,08-12-2021,26813,26813,25871,3132,76.2
WI,08-12-2021,6259140,6258737,5923534,1863667,52.4
IN,08-12-2021,6188855,6188472,5867327,1841079,44.9
DD2,08-12-2021,4585178,4584991,4373755,346666,0.0
VA,08-12-2021,9878495,9847730,9186536,2320603,55.4
VA2,08-12-2021,5463148,5462989,5460915,2873596,0.0
PR,08-12-2021,4047486,4046101,3763079,1056534,60.9
CA,08-12-2021,46165206,46037332,42969998,10108614,53.9
LTC,08-12-2021,7912516,0,0,0,0.0
ME,08-12-2021,1692077,1691972,1596386,514312,64.4
MO,08-12-2021,5645732,5645369,5360882,1691924,42.6
OR,08-12-2021,4812087,4798098,4515870,1268452,56.6
VI,08-12-2021,88700,88617,85361,25544,37.2
WV,08-12-2021,1494265,1493347,1426512,536760,39.2
SC,08-12-2021,4533845,4526007,4338476,1521544,41.4
AK,08-12-2021,706538,704461,660833,143746,46.0
CT,08-12-2021,4667990,4666326,4345413,1175938,64.1
AL,08-12-2021,3748680,3748336,3611104,1236448,35.1
NV,08-12-2021,3050470,3050426,2888008,787697,45.5
NY,08-12-2021,23446958,23444977,22177993,5527407,58.1
DE,08-12-2021,1110361,1110167,1045430,340400,53.5
KS,08-12-2021,2772910,2772784,2616669,806356,46.1
MP,08-12-2021,63621,63621,56693,5534,54.0
PA,08-12-2021,14868761,14864054,14083213,4474946,53.3
WA,08-12-2021,9160328,9159451,8589919,2159181,58.5
NC,08-12-2021,9953649,9939695,9401618,2851998,44.5
TX,08-12-2021,28324847,28319292,26399263,6112837,44.8
AR,08-12-2021,2581762,2576662,2444104,780881,38.0
US,08-12-2021,353859894,353506649,333061604,92985255,50.4
FM,08-12-2021,58845,58831,58800,4762,30.0
FL,08-12-2021,23345223,23336760,22283339,8106085,49.9
KY,08-12-2021,4312359,4311266,4097716,1218812,46.4
ND,08-12-2021,673739,672700,644540,195771,40.5
IH2,08-12-2021,1516628,1516091,1408609,279529,33.2
MT,08-12-2021,988858,988706,943641,328734,44.8
RI,08-12-2021,1350658,1350542,1269172,349843,62.4
WY,08-12-2021,456497,456469,438290,148686,37.3
NJ,08-12-2021,10582372,10581631,9906219,2460771,59.3
AZ,08-12-2021,7253931,7253037,6828279,2160879,46.0
LA,08-12-2021,3836597,3836338,3681327,1196767,37.9
MI,08-12-2021,9931532,9931125,9406670,2887660,49.4
NM,08-12-2021,2536756,2536472,2367153,668952,58.1
IL,08-12-2021,13936712,13896170,12984056,3406848,49.4
MN,08-12-2021,6184115,6164733,5771990,1607320,54.4
OK,08-12-2021,3575444,3575226,3399787,1028625,41.1
MS,08-12-2021,2265054,2264870,2172870,727397,35.5
HI,08-12-2021,1737962,1733374,1635918,489239,54.1
VT,08-12-2021,856595,856385,802386,248670,66.8
CO,08-12-2021,6587689,6567788,6139956,1444019,55.2
BP2,08-12-2021,205701,205700,205700,6534,0.0
MA,08-12-2021,9253493,9225028,8624547,2094403,64.6
NH,08-12-2021,1613843,1613220,1518015,438369,58.7
MH,08-12-2021,37121,37092,37024,2163,30.5
AS,08-12-2021,53169,53158,47293,5176,43.7
SD,08-12-2021,868447,868417,823457,264657,47.7
TN,08-12-2021,5928462,5927739,5688421,1838615,39.8
GU,08-12-2021,205529,205509,187131,29903,60.5
MD,08-12-2021,7347058,7346624,6838179,1695190,59.7
ID,08-12-2021,1397994,0,1397239,464897,37.9
NE,08-12-2021,1983371,1983062,1863559,555913,50.2
IA,08-12-2021,3196044,3196002,3026025,970359,50.2
NC,08-11-2021,9927720,9913767,9380644,2849998,44.4
RP,08-11-2021,26798,26798,25866,3132,76.2
PA,08-11-2021,14839806,14835102,14059907,4470714,53.2
TX,08-11-2021,28227060,28221525,26326403,6107169,44.7
VI,08-11-2021,88043,87961,84760,25456,36.9
PR,08-11-2021,4041146,4039762,3758099,1055881,60.9
CA,08-11-2021,46089472,45961673,42910342,10101607,53.8
ID,08-11-2021,1395871,0,1395132,464575,37.8
VT,08-11-2021,879920,879710,825417,256755,68.0
DC,08-11-2021,917068,916985,889635,175089,55.8
DE,08-11-2021,1109125,1108931,1044437,340232,53.5
AZ,08-11-2021,7243338,7242448,6819886,2159712,45.9
UT,08-11-2021,3092195,3091506,2848416,627221,45.8
SD,08-11-2021,866769,866740,822261,264552,47.6
WI,08-11-2021,6251863,6251460,5917898,1862853,52.3
US,08-11-2021,353205544,352852551,332543711,92926663,50.3
MD,08-11-2021,7332834,7332406,6827071,1694069,59.6
IL,08-11-2021,13918406,13877880,12969851,3404635,49.3
CO,08-11-2021,6577649,6557759,6132184,1443211,55.1
AL,08-11-2021,3733090,3732749,3597215,1234473,35.0
LA,08-11-2021,3820920,3820669,3668407,1195403,37.8
NH,08-11-2021,1612006,1611383,1516583,438218,58.8
IA,08-11-2021,3193184,3193142,3023936,970095,50.2
BP2,08-11-2021,204939,204938,204938,6521,0.0
HI,08-11-2021,1735680,1731092,1633992,489014,54.0
RI,08-11-2021,1348833,1348719,1267653,349658,62.4
WY,08-11-2021,455423,455395,437435,148573,37.2
KS,08-11-2021,2766763,2766637,2612093,805768,46.0
CT,08-11-2021,4661382,4659723,4340183,1175401,64.0
VA2,08-11-2021,5458778,5458619,5456560,2872433,0.0
FM,08-11-2021,58600,58586,58555,4753,29.9
ME,08-11-2021,1690416,1690311,1594996,514100,64.4
NJ,08-11-2021,10566222,10565486,9893320,2459605,59.3
NV,08-11-2021,3046186,3046142,2884480,787283,45.4
MH,08-11-2021,37121,37092,37024,2163,30.5
WV,08-11-2021,1493244,1492327,1425700,536651,39.2
WA,08-11-2021,9134591,9133716,8569095,2156752,58.4
NM,08-11-2021,2531528,2531245,2363306,668494,58.0
TN,08-11-2021,5915159,5914439,5676955,1836613,39.8
AS,08-11-2021,53169,53158,47293,5176,43.7
MI,08-11-2021,9919802,9919401,9397458,2886118,49.3
OH,08-11-2021,11253284,11252997,10700139,3413872,47.0
MO,08-11-2021,5627432,5627078,5344894,1688768,42.4
DD2,08-11-2021,4571769,4571588,4362239,346272,0.0
NY,08-11-2021,23410994,23409024,22148890,5523980,58.0
LTC,08-11-2021,7911629,0,0,0,0.0
IH2,08-11-2021,1513268,1512732,1406357,279365,33.1
OK,08-11-2021,3566215,3565998,3392823,1027937,41.1
IN,08-11-2021,6179127,6178746,5859524,1840145,44.8
MA,08-11-2021,9243823,9215359,8617086,2093753,64.5
OR,08-11-2021,4805974,4791986,4510804,1267635,56.6
GU,08-11-2021,204821,204801,186614,29861,60.2
MN,08-11-2021,6175256,6155875,5765441,1606289,54.4
MT,08-11-2021,987173,987022,942343,328516,44.8
KY,08-11-2021,4301981,4300888,4089490,1217750,46.4
SC,08-11-2021,4516350,4508514,4323960,1519898,41.2
MS,08-11-2021,2255050,2254868,2164315,726173,35.4
MP,08-11-2021,63451,63451,56586,5530,53.8
AK,08-11-2021,705607,703531,660159,143679,46.0
FL,08-11-2021,23295831,23287384,22240993,8099787,49.8
GA,08-11-2021,9207769,9205632,8742263,2444034,39.4
ND,08-11-2021,672252,671213,643453,195681,40.5
VA,08-11-2021,9863049,9832295,9174421,2319224,55.3
AR,08-11-2021,2570239,2565145,2435281,779866,37.9
NE,08-11-2021,1980288,1979985,1861337,555488,50.2
OK,08-10-2021,3556567,3556351,3385471,1027209,41.0
UT,08-10-2021,3080834,3080152,2839982,626808,45.7
WA,08-10-2021,9133244,9132369,8567927,2156652,58.4
WY,08-10-2021,454495,454468,436707,148487,37.1
SC,08-10-2021,4515673,4507837,4323342,1519869,41.2
MO,08-10-2021,5611120,5610767,5332679,1686912,42.3
LTC,08-10-2021,7910933,0,0,0,0.0
ME,08-10-2021,1688991,1688886,1593841,513927,64.3
NM,08-10-2021,2527867,2527587,2360619,668172,57.9
PR,08-10-2021,4032427,4031046,3750756,1055032,60.7
NJ,08-10-2021,10549532,10548798,9880078,2458074,59.2
RI,08-10-2021,1347334,1347220,1266450,349523,62.3
VT,08-10-2021,879649,879442,825200,256729,68.0
AK,08-10-2021,704538,702462,659370,143604,45.9
NC,08-10-2021,9914335,9900390,9369922,2849048,44.3
KS,08-10-2021,2761090,2760964,2607977,805255,45.9
GA,08-10-2021,9184131,9182007,8721812,2441898,39.3
AZ,08-10-2021,7233060,7232175,6811847,2158682,45.9
US,08-10-2021,352550944,352198384,332029457,92868221,50.3
WI,08-10-2021,6244774,6244373,5912412,1862074,52.3
CA,08-10-2021,46003535,45875770,42843809,10095496,53.7
MN,08-10-2021,6166743,6147367,5758865,1605335,54.3
MD,08-10-2021,7321740,7321314,6818234,1693071,59.6
FM,08-10-2021,57616,57602,57571,4643,29.1
MH,08-10-2021,36944,36915,36847,2154,30.3
FL,08-10-2021,23234418,23225981,22191517,8093865,49.7
NE,08-10-2021,1977171,1976868,1859063,555201,50.1
DE,08-10-2021,1107520,1107326,1043180,340088,53.4
KY,08-10-2021,4293951,4292860,4083125,1217050,46.3
SD,08-10-2021,865289,865260,821187,264456,47.5
TX,08-10-2021,28158288,28152767,26275675,6102607,44.6
ID,08-10-2021,1393789,0,1393062,464285,37.8
MI,08-10-2021,9908203,9907808,9388152,2884778,49.3
ND,08-10-2021,671375,670336,642848,195639,40.4
RP,08-10-2021,26798,26798,25866,3132,76.2
HI,08-10-2021,1733853,1729265,1632534,488851,54.0
LA,08-10-2021,3805136,3804891,3655596,1194248,37.7
MT,08-10-2021,985842,985692,941335,328330,44.7
CT,08-10-2021,4655325,4653671,4335440,1174902,64.0
MA,08-10-2021,9235664,9207200,8610852,2093157,64.5
AL,08-10-2021,3730982,3730642,3595362,1234276,35.0
MP,08-10-2021,63157,63157,56402,5521,53.6
DD2,08-10-2021,4559673,4559494,4351996,345825,0.0
